benchmark	Type	Orig	Prop	Class	logs-avg.Storm.vi-topo	logs-avg.Storm.ovi-topo	logs-avg.Storm.vi2pi-topo-gmres	logs-avg.Storm.vi2lp-topo-gurobi	logs-avg.mcsta.vi	logs-avg.mcsta.ovi	logs-run1.Storm.vi-topo	logs-run1.Storm.ovi-topo	logs-run1.Storm.vi2pi-topo-gmres	logs-run1.Storm.vi2lp-topo-gurobi	logs-run1.mcsta.vi	logs-run1.mcsta.ovi	logs-run2.Storm.vi-topo	logs-run2.Storm.ovi-topo	logs-run2.Storm.vi2pi-topo-gmres	logs-run2.Storm.vi2lp-topo-gurobi	logs-run2.mcsta.vi	logs-run2.mcsta.ovi	logs-run3.Storm.vi-topo	logs-run3.Storm.ovi-topo	logs-run3.Storm.vi2pi-topo-gmres	logs-run3.Storm.vi2lp-topo-gurobi	logs-run3.mcsta.vi	logs-run3.mcsta.ovi	logs-run4.Storm.vi-topo	logs-run4.Storm.ovi-topo	logs-run4.Storm.vi2pi-topo-gmres	logs-run4.Storm.vi2lp-topo-gurobi	logs-run4.mcsta.vi	logs-run4.mcsta.ovi	logs-run5.Storm.vi-topo	logs-run5.Storm.ovi-topo	logs-run5.Storm.vi2pi-topo-gmres	logs-run5.Storm.vi2lp-topo-gurobi	logs-run5.mcsta.vi	logs-run5.mcsta.ovi	best
dpm.6-8-5.PminQueuesFull	ma	modest	P	maqvbs	28.0488	33.868	119.4944	724	13.7	4.06	28.502	33.996	112.272	724	13.8	4.1	28.261	33.863	120.437	724	13.8	3.9	28.365	33.86	120.77	724	13.8	4.1	27.526	33.838	120.777	724	13.7	4.1	27.59	33.783	123.216	724	13.4	4.1	3.9
evade-mdp.10-0.7.prob_max	mdp	prism	P	mdpgridmec	65.0244	104.7604	33.969	724	84.72	165.26	58.648	101.65	34.987	724	85.0	163.4	66.784	102.479	34.743	724	83.9	169.5	66.823	106.747	35.259	724	84.6	170.4	66.699	106.122	29.659	724	85.2	170.3	66.168	106.804	35.197	724	84.9	152.7	29.659
evade-mdp.8-0.7.prob_max	mdp	prism	P	mdpgridmec	16.1038	9.308	5.9792000000000005	724	21.48	724	15.965	9.152	6.102	724	21.2	724	16.037	9.861	6.13	724	21.0	724	16.147	9.788	6.13	724	21.7	724	16.137	9.833	5.771	724	21.7	724	16.233	7.906	5.763	724	21.8	724	5.763
firewire.true-3-600.time_max	mdp	prism	E	mdpqvbs	1	1	1	1	8.82	13.680000000000001	1	1	1	1	8.8	13.7	1	1	1	1	8.8	13.8	1	1	1	1	8.9	13.7	1	1	1	1	8.8	13.6	1	1	1	1	8.8	13.6	1
firewire.true-3-600.time_sending	mdp	prism	E	mdpqvbs	1	1	1	1	8.8	11.16	1	1	1	1	8.7	11.1	1	1	1	1	8.8	11.2	1	1	1	1	8.8	11.2	1	1	1	1	8.8	11.1	1	1	1	1	8.9	11.2	1
firewire.true-36-200.time_max	mdp	prism	E	mdpqvbs	4.296	4.489	4.8782	6.449599999999999	75.76	132.18	4.331	4.576	4.865	6.292	74.9	135.3	4.289	4.562	4.822	6.287	75.0	135.5	4.327	4.475	4.88	6.286	76.4	134.9	4.26	4.494	4.943	6.429	76.4	127.6	4.273	4.338	4.881	6.954	76.1	127.6	4.26
firewire.true-36-200.time_min	mdp	prism	E	mdpqvbs	9.4882	5.6006	5.0576	9.716	8.66	10.559999999999999	9.879	5.348	5.017	9.247	8.8	10.5	9.07	5.219	4.965	10.231	8.6	10.5	9.477	5.901	4.946	10.226	8.6	10.6	9.431	5.726	5.18	10.33	8.6	10.6	9.584	5.809	5.18	8.546	8.7	10.6	4.946
firewire.true-36-200.time_sending	mdp	prism	E	mdpqvbs	4.349	4.537599999999999	4.353199999999999	9.9672	54.17999999999999	80.36	4.36	4.565	4.303	9.802	54.2	80.0	4.36	4.539	4.327	9.96	54.0	81.8	4.353	4.506	4.376	10.02	54.2	82.0	4.302	4.587	4.43	9.993	54.3	81.9	4.37	4.491	4.33	10.061	54.2	76.1	4.302
flexible-manufacturing.21-1.M3Fail_E	ma	greatspn	E	maqvbs	2.6662	2.344	3.5927999999999995	724	2.86	3.2399999999999998	2.612	2.157	3.554	724	2.9	4.0	2.673	2.442	3.551	724	2.8	3.0	2.686	2.324	3.624	724	3.0	2.6	2.682	2.441	3.61	724	2.8	4.0	2.678	2.356	3.625	724	2.8	2.6	2.157
flexible-manufacturing.3-1.M2Fail_E	ma	greatspn	E	maqvbs	724	141.2958	2.2472000000000003	1	724	724	724	141.914	2.302	1	724	724	724	141.664	2.298	1	724	724	724	141.318	2.307	1	724	724	724	140.374	2.166	1	724	724	724	141.209	2.163	1	724	724	1
ftwc.8-5.TimeMax	ma	modest	E	maqvbs	724	6.922399999999999	1.2776	1.5213999999999999	724	77.78	724	6.534	1.27	1.509	724	78.7	724	6.542	1.276	1.49	724	75.7	724	6.544	1.275	1.55	724	75.7	724	6.539	1.278	1.539	724	75.6	724	8.453	1.289	1.519	724	83.2	1.27
ftwc.8-5.TimeMin	ma	modest	E	maqvbs	724	5.712000000000001	1.018	1	724	80.86	724	5.693	1.012	1	724	79.5	724	5.723	1.042	1	724	79.6	724	5.9	1.012	1	724	80.0	724	5.719	1.012	1	724	82.5	724	5.525	1.012	1	724	82.7	1
intercept-mdp.30-0.0.time_min	mdp	prism	E	mdpgrid	12.1828	11.8378	12.480599999999999	724	9.7	10.32	12.801	12.111	12.258	724	9.6	10.4	12.66	12.114	12.317	724	9.7	10.3	11.887	11.691	12.203	724	10.2	10.3	11.789	11.544	12.744	724	9.0	10.2	11.777	11.729	12.881	724	10.0	10.4	9.0
intercept-mdp.40-0.0.time_min	mdp	prism	E	mdpgrid	57.525400000000005	58.209	61.4738	724	52.52	52.7	60.248	59.423	68.785	724	50.3	53.9	59.824	58.472	58.297	724	53.4	52.8	55.848	58.901	57.729	724	53.5	52.8	55.658	57.798	61.297	724	52.7	52.7	56.049	56.451	61.261	724	52.7	51.3	50.3
manymecs.10000.prob_max	mdp	prism	P	mdpmec	724	1	1	1	8.3	8.620000000000001	724	1	1	1	8.3	8.4	724	1	1	1	8.3	8.4	724	1	1	1	8.3	8.4	724	1	1	1	8.3	8.4	724	1	1	1	8.3	9.5	1
manymecs.100000.prob_max	mdp	prism	P	mdpmec	724	85.2118	81.538	26.123	724	724	724	77.589	86.231	25.758	724	724	724	87.463	86.293	25.938	724	724	724	87.362	78.29	26.411	724	724	724	87.305	78.243	26.212	724	724	724	86.34	78.633	26.296	724	724	25.758
mer.100-0.1.prob_max	mdp	prism	P	mdpmec	1	24.7302	24.7108	1.0074	1	3.78	1	24.704	24.707	1.029	1	3.4	1	24.73	24.683	1.013	1	4.0	1	24.711	24.745	1	1	4.0	1	24.791	24.727	1.024	1	3.9	1	24.715	24.692	1	1	3.6	1
mer.250-0.1.prob_max	mdp	prism	P	mdpmec	1.3818	153.3346	153.3678	3.2866	1	9.82	1.412	153.32	153.481	3.301	1	9.4	1.395	153.345	153.347	3.282	1	10.1	1.401	153.373	153.393	3.284	1	10.0	1.355	153.405	153.335	3.344	1	10.0	1.346	153.23	153.283	3.222	1	9.6	1
