benchmark	Type	Orig	Prop	Class	logs.Storm.vi-mono-bfs	logs.Storm.vi-mono-reversebfs	logs.Storm.vi-mono-rnd	logs.Storm.pi-mono-bfs	logs.Storm.pi-mono-reversebfs	logs.Storm.pi-mono-rnd	logs.Storm.lp-mono-bfs	logs.Storm.lp-mono-reversebfs	logs.Storm.lp-mono-rnd	best
obstacle-mdp.800.steps_min	mdp	prism	E	mdpgrid	7.499	7.781	10.3322	724	724	724	724	724	724	7.499
pacman.100.crash	mdp	prism	P	mdpqvbs	4.982	15.155	31.7642	50.799	20.59	105.376	724	724	724	4.982
polling-system.3-3-5.TmaxBothFull	ma	modest	E	maqvbs	724	724	724	1	1	1	1.206	1.255	1.2454	1
random-grid.40-0.3-0.3.time_min	mdp	prism	E	mdpgrid	1	1	1	724	724	724	5.133	5.007	11.5062	1
random-grid.80-0.3-0.3.prob_max	mdp	prism	P	mdpgridmec	3.393	3.774	5.6288	512	457.25	724	724	724	724	3.393
random-grid.80-0.3-0.3.time_min	mdp	prism	E	mdpgrid	4.463	5.351	10.0078	724	724	724	724	724	724	4.463
readers-writers.20.exp_time_many_requests	ma	greatspn	E	maqvbs	1	3.053	3.9942	1	1	1.1248	188.409	724	229.5558	1
readers-writers.35.exp_time_many_requests	ma	greatspn	E	maqvbs	2.669	10.309	17.487199999999998	4.581	4.477	15.515	724	724	724	2.669
readers-writers.40.exp_time_many_requests	ma	greatspn	E	maqvbs	5.385	15.905	33.7894	8.371	6.422	31.337400000000002	724	724	724	5.385
readers-writers.40.pr_network	ma	greatspn	P	maqvbs	5.864	13.496	26.830000000000002	11.445	12.415	42.302	724	724	724	5.864
refuel-mdp.80-40.reach_max	mdp	prism	P	mdpgridmec	724	724	724	724	724	724	724	724	724	724
resource-gathering.1300-100-100.expsteps	mdp	prism	E	mdpqvbs	2.094	9.19	12.1844	724	724	724	173.042	162.293	202.8112	2.094
resource-gathering.400-30-30.expsteps	mdp	prism	E	mdpqvbs	1	1	1	1.144	724	724	3.226	3.172	3.715	1
sensor.4.max_success	mdp	prism	P	mdpmec	1	1	1	1.574	1	2.4173999999999998	7.656	7.484	11.4512	1
sensor.5.max_success	mdp	prism	P	mdpmec	3.506	4.366	7.140000000000001	31.15	6.608	33.4662	724	724	724	3.506
tireworld.17.goal	mdp	ppddl	P	mdpqvbs	1	1	1	1	1	1	1	1	1	1
wlan-large.2.E_1	pta	modest	E	ptaqvbs	5.771	724	724	4.557	2.852	724	309.416	103.11	334.92359999999996	2.852
wlan-large.2.E_and	pta	modest	E	ptaqvbs	7.163	724	724	3.229	2.958	724	326.195	35.271	157.1824	2.958
wlan-large.2.E_or	pta	modest	E	ptaqvbs	6.75	724	724	3.98	2.81	724	315.224	35.072	70.2558	2.81
wlan-mec.3-0.cost_min	mdp	prism	E	mdpmec	1.904	1.834	4.9976	724	57.739	724	16.257	16.473	37.760400000000004	1.834
wlan-mec.3-0.time_min	mdp	prism	E	mdpmec	2.341	2.295	4.9636000000000005	724	42.485	724	18.447	19.71	36.516	2.295
wlan.5-0.cost_max	mdp	prism	E	mdpqvbs	6.981	14.855	25.428	4.513	3.02	15.913999999999998	4.58	3.722	8.1458	3.02
wlan.5-0.cost_min	mdp	prism	E	mdpqvbs	4.392	4.113	14.0114	2.53	2.509	5.4866	3.531	3.92	7.0994	2.509
wlan.5-0.num_collisions	mdp	prism	E	mdpqvbs	6.125	12.698	24.8626	3.297	2.989	15.6942	4.13	3.635	7.6822	2.989
wlan.6-0.time_max	mdp	prism	E	mdpqvbs	94.247	146.216	328.51279999999997	32.961	11.057	149.74579999999997	18.01	16.171	42.636	11.057
wlan.6-0.time_min	mdp	prism	E	mdpqvbs	34.913	72.878	166.3052	9.951	8.093	23.259800000000002	20.936	21.632	42.318	8.093
zeroconf.1000-8-false.correct_max	mdp	prism	P	mdpqvbs	3.09	4.351	7.4988	724	724	724	724	724	724	3.09
zeroconf.1000-8-false.correct_min	mdp	prism	P	mdpqvbs	1.396	2.677	4.337400000000001	19.857	17.556	25.994400000000002	512	324.268	512	1.396
zeroconf.20-2-false.correct_max	mdp	prism	P	mdpqvbs	1	1	1	724	724	724	1	2.29	1.845	1
zeroconf.20-8-false.correct_max	mdp	prism	P	mdpqvbs	2.674	3.535	7.385	724	724	724	724	724	724	2.674
zeroconf.20-8-false.correct_min	mdp	prism	P	mdpqvbs	1	2.275	3.9188	8.085	7.402	12.601600000000001	429.84	291.111	512	1
