benchmark	Type	Orig	Prop	Class	logs.Storm.vi-mono	logs.Storm.vi-mono-mecq	logs.Storm.vi-topo	logs.Storm.vi-topo-mecq	logs.Storm.ovi-mono	logs.Storm.ovi-topo	logs.Storm.svi-mono	logs.Storm.svi-topo	logs.Storm.ii-mono	logs.Storm.ii-topo	logs.Storm.rs-topo-mecq-exact	logs.Storm.rs-mono-mecq-exact	logs.Storm.pi-mono-gmres	logs.Storm.pi-mono-gmres-diagprecond	logs.Storm.pi-mono-gmres-noprecond	logs.Storm.pi-mono-gmres-bicgstab	logs.Storm.pi-mono-gmres-qmr	logs.Storm.pi-mono-gmres-topo	logs.Storm.pi-topo-gmres	logs.Storm.pi-topo-gmres-mono	logs.Storm.pi-mono-exactlu	logs.Storm.pi-mono-exactlu-topo	logs.Storm.pi-topo-exactlu	logs.Storm.pi-topo-exactlu-mono	logs.Storm.pi-mono-lu	logs.Storm.pi-topo-lu	logs.Storm.pi-mono-ovi	logs.Storm.pi-topo-ovi	logs.Storm.pi-mono-vi	logs.Storm.pi-topo-vi	logs.Storm.vi2pi-mono-gmres	logs.Storm.vi2pi-mono-exactlu	logs.Storm.vi2pi-topo-gmres	logs.Storm.vi2pi-topo-exactlu	logs.Storm.vi2pi-topo-gmres-mono	logs.Storm.vi2pi-topo-exactlu-mono	logs.Storm.vi2pi-mono-exactlu-topo	logs.Storm.lp-mono-gurobi	logs.Storm.lp-mono-gurobi-4auto	logs.Storm.lp-mono-gurobi-4barrier	logs.Storm.lp-mono-gurobi-4dualsimpl	logs.Storm.lp-mono-gurobi-4primalsimpl	logs.Storm.lp-gurobi-8auto	logs.Storm.lp-gurobi-16auto	logs.Storm.lp-gurobi95-1auto	logs.Storm.lp-gurobi95-4auto	logs.Storm.lp-gurobi95-8auto	logs.Storm.lp-gurobi95-16auto	logs.Storm.lp-mono-gurobi-4autoeq	logs.Storm.lp-mono-gurobi-4autoinit	logs.Storm.lp-mono-gurobi-4autobnds	logs.Storm.lp-mono-gurobi-4autoinitbnds	logs.Storm.lp-topo-gurobi-4auto	logs.Storm.lp-topo-gurobi-4autoeq	logs.Storm.lp-topo-gurobi-4autoinit	logs.Storm.lp-topo-gurobi-4autobnds	logs.Storm.lp-topo-gurobi-4autoinitbnds	logs.Storm.lp-topo-gurobi	logs.Storm.lp-topo-mecq-gurobi	logs.Storm.lp-topo-mecq-gurobi-4auto	logs.Storm.lp-mono-mecq-gurobi-4auto	logs.Storm.vi2lp-topo-gurobi	logs.Storm.vi2lp-mono-gurobi	logs.Storm.vi2lp-topo-gurobi-4auto	logs.Storm.vi2lp-topo-mecq-gurobi-4auto	logs.Storm.vi2lp-mono-gurobi-4auto	logs.Storm.vi2lp-mono-mecq-gurobi-4auto	logs.Storm.lp-mono-soplex-exact	logs.Storm.lp-mono-soplex	logs.Storm.lp-mono-glpk	logs.Storm.lp-mono-z3-exact	logs.Storm.vi2lp-mono-soplex-exact	logs.Storm.lp-topo-soplex-exact	logs.Storm.lp-topo-soplex	logs.Storm.lp-topo-glpk	logs.Storm.lp-topo-z3-exact	logs.Storm.vi2lp-topo-soplex-exact	logs.Storm.vi2lp-topo-mecq-soplex-exact	logs.Storm.vi-mono-bisim-sylvan1	logs.Storm.vi2pi-topo-exactlu-bisim-sylvan1	logs.Storm.vi-mono-bfs	logs.Storm.vi-mono-reversebfs	logs.Storm.vi-mono-rnd	logs.Storm.pi-mono-bfs	logs.Storm.pi-mono-reversebfs	logs.Storm.pi-mono-rnd	logs.Storm.lp-mono-bfs	logs.Storm.lp-mono-reversebfs	logs.Storm.lp-mono-rnd	logs.mcsta.vi	logs.mcsta.ovi	logs.mcsta.svi	logs.mcsta.ii	logs.mcsta.lp-copt-mono	logs.mcsta.lp-copt-topo	logs.mcsta.lp-cplex-mono	logs.mcsta.lp-cplex-topo	logs.mcsta.lp-glop-mono	logs.mcsta.lp-glop-topo	logs.mcsta.lp-gurobi-mono	logs.mcsta.lp-gurobi-topo	logs.mcsta.lp-highs-mono	logs.mcsta.lp-highs-topo	logs.mcsta.lp-lpsolve-mono	logs.mcsta.lp-lpsolve-topo	logs.mcsta.lp-mosek-mono	logs.mcsta.lp-mosek-topo	logs.mcsta.vi-p0	logs.mcsta.vi-p1	logs.mcsta.vi-p01	logs.mcsta.vi-es	logs.mcsta.vi-es-p01	logs.mcsta.vi-mecq	logs.mcsta.ovi-mecq	best
dpm.4-6-100.TminQueuesFull	ma	modest	E	maqvbs	1	1	1	1	1	1	1	1	1	1	724	724	1.897	120.282	119.642	1	1.086	1.558	1.577	1.718	724	724	724	724	9.231	19.786	46.025	48.344	13.538	10.773	1	724	1	128.811	1	724	129.058	47.503	48.553	60.718	56.314	120.731	41.232	30.313	38.423	39.746	53.044	36.472	57.143	71.558	63.581	63.907	75.648	76.493	76.336	50.936	50.234	47.515	50.857	56.798	57.356	39.033	40.946	32.635	38.083	37.779	44.41	724	724	724	724	724	724	724	724	724	724	724	9.356	314.879	1	1	1	1.716	1	3.7131999999999996	58.308	97.269	90.75460000000001	1	1	1	1	73.5	76.4	724	724	724	724	127.2	206.5	454.4	445.2	724	724	49.7	46.4	1	1	1	1	1	1	1	1
dpm.4-6-25.TminQueuesFull	ma	modest	E	maqvbs	1	1	1	1	1	1	1	1	1	1	724	724	1.865	115.236	112.985	1	1.33	1.592	1.624	2.708	724	724	724	724	9.038	19.026	45.236	48.055	13.063	10.471	1	724	1	139.508	1	724	136.991	63.643	54.594	55.275	56.229	118.012	37.849	31.184	42.815	46.26	57.126	43.78	56.817	67.901	60.846	60.999	76.742	77.064	77.14	60.68	60.822	63.212	39.692	42.998	50.088	41.61	38.312	37.598	36.52	43.606	42.756	724	724	724	724	724	724	724	724	724	724	724	13.397	322.121	1	1	1	1.542	1	3.5114000000000005	55.401	83.199	79.3366	1	1	1	1	82.9	87.7	724	724	724	724	129.9	180.4	484.7	424.6	724	724	48.7	46.7	1	1	1	1	1	1	1	1
dpm.4-6-50.TminQueuesFull	ma	modest	E	maqvbs	1	1	1	1	1	1	1	1	1	1	724	724	1.793	112.154	108.156	1	1.275	1.605	1.663	1.803	724	724	724	724	9.054	19.106	47.626	51.431	12.943	10.531	1	724	1	121.332	1	724	123.421	45.404	42.723	47.376	45.093	121.853	36.136	31.523	36.092	45.949	46.712	32.653	64.504	63.878	38.032	64.92	74.469	74.958	72.506	65.126	65.285	50.314	47.037	61.473	61.233	36.356	42.571	41.087	38.215	36.922	44.671	724	724	724	724	724	724	724	724	724	724	724	10.003	349.67900000000003	1	1	1	1.894	1	3.7016	46.876	89.728	90.1466	1	1	1	1	134.5	67.8	724	724	724	724	143.3	205.1	509.1	435.3	724	724	41.8	49.5	1	1	1	1	1	1	1	1
dpm.6-8-5.PminQueue1Full	ma	modest	P	maqvbs	19.437	16.951	23.909	23.739	19.308	30.379	23.004	41.519	20.589	27.323	724	724	724	724	724	53.48	724	724	724	724	724	724	724	724	724	724	60.541	724	39.419	724	724	724	125.119	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	18.112	36.594	98.0338	724	724	724	724	724	724	11.1	6.8	8.4	4.0	724	724	724	724	724	724	724	724	724	724	724	724	724	724	8.4	8.7	8.7	4.2	4.1	51.0	48.6	4.0
dpm.6-8-5.PminQueuesFull	ma	modest	P	maqvbs	23.443	22.621	29.284	28.925	26.291	30.28	30.955	39.322	32.304	35.158	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	90.856	724	60.483	724	724	724	115.857	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	22.048	61.082	130.6444	724	724	724	724	724	724	16.0	5.1	12.1	3.0	724	724	724	724	724	724	724	724	724	724	724	724	724	724	15.0	15.4	17.0	7.3	6.8	183.5	172.9	3.0
evade-mdp.10-0.7.prob_max	mdp	prism	P	mdpgridmec	59.428	23.785	72.934	20.098	82.568	128.206	724	724	512	512	724	724	257.172	724	724	48.34	76.165	83.999	84.796	208.566	724	724	724	724	724	724	724	724	724	724	31.497	724	32.34	724	32.178	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	159.83599999999998	724	73.638	94.568	220.7654	82.987	471.317	463.2048	724	724	724	74.7	154.5	512	6.6	724	724	724	724	724	724	724	724	724	724	724	724	724	724	87.6	86.5	86.2	81.9	77.3	13.2	13.1	6.6
evade-mdp.8-0.7.prob_max	mdp	prism	P	mdpgridmec	13.613	3.253	14.693	4.815	8.385	9.116	29.352	31.069	21.851	21.338	724	724	62.252	724	724	7.785	13.981	104.524	99.743	35.763	724	724	724	724	724	724	724	724	724	724	4.25	724	6.962	724	5.167	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	24.989	724	14.263	17.97	39.2164	104.616	186.112	131.3424	724	724	724	21.8	724	22.7	11.6	724	724	724	724	724	724	724	724	724	724	724	724	724	724	21.4	23.9	23.1	21.0	21.8	3.2	3.0	3.0
firewire.true-3-600.time_max	mdp	prism	E	mdpqvbs	3.741	5.727	1	1	6.854	1	5.921	1	9.678	1	2.445	8.723	6.552	512	512	7.897	8.741	2.89	1	1	125.141	11.201	2.217	2.179	8.777	1	724	724	52.469	1.224	6.647	19.631	1	2.025	1	2.06	9.236	183.319	40.046	39.019	159.825	3.638	4.452	4.133	157.375	25.931	4.367	4.669	29.88	17.281	61.711	14.195	1	1	1	1	1	1	1	1	38.01	1	39.328	1	1	24.691	24.358	724	724	724	724	724	2.441	1	1	4.03	2.228	2.561	12.768	9.813	4.039	4.997	10.9792	3.667	1.173	8.184000000000001	40.135	188.193	26.9822	9.0	13.7	16.0	20.1	10.0	1	336.9	1	212.7	1	74.5	1	13.0	1	724	1	85.6	1	10.3	10.6	10.6	1	1	11.2	16.9	1
firewire.true-3-600.time_sending	mdp	prism	E	mdpqvbs	3.626	4.769	1	1	5.945	1	6.985	1	8.993	1	2.43	6.81	4.677	197.235	196.981	3.127	4.694	2.533	1	1	58.546	6.703	2.107	2.925	5.559	1	724	724	72.845	1	5.134	20.317	1	3.528	1	2.332	6.034	54.725	60.432	24.262	57.515	4.708	4.925	5.269	50.284	48.543	6.093	6.098	12.592	15.236	12.878	8.413	1	1	1	1	1	1	1	1	54.044	1	127.926	1	1	35.199	40.393	724	724	724	724	724	2.562	1	1	3.614	2.352	2.098	13.569	724	4.667	6.395	10.541599999999999	3.04	1.36	54.8606	51.923	14.905	18.644	9.9	12.8	25.6	17.7	11.1	1	474.0	1	129.0	1	7.3	1	93.2	1	724	1	62.0	1	8.7	8.8	8.8	1	1	9.1	11.2	1
firewire.true-36-200.time_max	mdp	prism	E	mdpqvbs	16.846	14.95	4.215	4.243	24.59	4.341	30.719	7.28	52.419	6.874	23.851	49.834	215.087	724	724	232.217	224.297	48.46	5.338	5.893	724	166.885	26.345	35.201	92.508	5.043	724	724	184.513	18.863	43.437	724	4.897	21.024	4.249	22.385	47.397	724	724	724	724	449.036	724	724	724	724	724	724	724	724	724	724	7.462	7.66	7.832	9.838	12.709	7.271	7.246	7.442	724	6.472	724	6.778	6.861	724	724	724	724	724	724	724	724	216.564	512	724	98.262	88.577	409.698	724	16.628	87.175	199.469	39.822	13.007	281.2572	724	724	724	84.6	132.3	178.0	240.3	724	9.4	724	17.5	724	13.1	724	12.8	724	12.4	724	512	724	16.5	80.8	81.1	75.8	10.0	8.9	85.2	146.1	4.215
firewire.true-36-200.time_min	mdp	prism	E	mdpqvbs	13.993	4.242	8.909	5.117	5.338	6.413	7.443	12.573	8.539	10.256	27.936	27.824	51.568	724	724	23.379	41.179	19.29	6.982	6.676	724	61.137	31.38	31.166	38.79	7.35	724	7.504	8.495	7.349	9.895	724	4.682	31.0	4.785	25.454	28.438	26.907	21.108	30.919	26.899	26.742	21.086	22.959	24.627	724	724	724	49.668	21.685	25.766	27.468	4.393	4.447	4.491	9.257	9.165	6.961	6.526	5.94	24.194	10.556	25.613	9.287	10.165	23.39	26.531	724	724	724	724	724	83.276	326.862	724	724	724	724	488.098	512	9.441	16.243	29.162599999999998	20.666	9.134	36.0574	22.226	24.144	46.677800000000005	9.0	11.2	9.6	10.2	724	6.0	724	10.1	724	12.5	29.1	4.7	724	5.0	724	724	724	4.9	9.0	8.9	8.9	4.7	4.7	9.6	14.8	4.242
firewire.true-36-200.time_sending	mdp	prism	E	mdpqvbs	14.425	13.299	6.265	5.44	18.662	4.201	23.488	6.792	51.109	8.905	22.454	44.493	82.877	724	724	65.494	61.981	23.073	4.297	4.477	724	78.605	21.081	29.895	44.1	4.609	724	5.543	164.524	15.362	60.437	724	4.781	21.44	4.595	26.477	35.499	724	724	724	724	512	724	724	724	724	724	724	724	724	724	724	7.565	6.887	8.457	9.771	9.364	7.769	7.975	7.727	724	10.155	724	10.373	11.707	724	724	724	724	724	724	724	512	229.126	724	724	354.148	236.053	454.07800000000003	724	12.4	88.619	193.704	26.044	8.404	51.3266	724	724	724	54.3	79.8	122.3	179.9	724	9.0	724	21.7	724	24.3	724	15.9	724	22.6	724	512	724	16.4	60.8	61.0	53.0	9.9	9.9	60.8	103.3	4.201
flexible-manufacturing.21-1.M3Fail_E	ma	greatspn	E	maqvbs	2.308	1.532	3.527	2.057	1.859	2.57	3.528	3.611	3.418	3.139	724	724	2.012	33.484	32.804	1.504	2.326	2.344	2.409	2.69	724	724	724	724	724	724	2.018	2.508	1.79	2.101	2.559	724	4.008	724	3.004	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	68.615	724	3.147	6.566	10.7294	2.282	1.943	11.8176	724	724	724	3.8	3.6	3.4	6.8	724	724	724	724	724	724	724	724	724	724	724	724	724	724	2.8	2.6	2.5	1	1	2.8	2.7	1
flexible-manufacturing.3-1.M2Fail_E	ma	greatspn	E	maqvbs	724	724	724	724	135.609	142.386	232.001	234.99	297.698	297.118	724	724	1	724	724	1	1	1	1	1	52.206	54.697	52.234	54.412	1	1	166.026	166.163	724	724	2.09	58.64	2.089	54.665	2.15	56.427	60.835	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.755	1	1	724	5.863	5.52	1	1	724	5.577	6.224	724	92.695	724	724	724	1	1	1	1	1	1	724	724	724	724	1	1	1	1	724	724	1	1	1	1	724	724	1	1	724	724	724	724	724	724	724	1
ftwc.8-5.TimeMax	ma	modest	E	maqvbs	724	724	724	724	18.373	8.194	21.917	7.944	78.512	26.314	724	724	1	724	724	1	1	1	1	1	724	724	724	724	724	724	724	724	512	724	3.935	724	1.27	512	1.537	512	512	1.255	1.163	1.939	1.149	11.429	1	1.005	1.032	1.031	1.246	1.131	1.591	1.137	1.071	1.099	1	1	1	1	1	1	1	1	1.187	1.544	4.481	1.745	1.794	5.132	5.258	345.771	7.242	12.565	724	26.157	10.215	1.55	724	724	13.141	11.067	724	724	724	724	724	1	1	1	1.029	1.968	5.8688	724	82.6	346.1	167.8	1.4	724	1.7	1	724	724	23.4	1	1.7	724	724	724	1	1	724	724	724	724	724	724	90.4	1
ftwc.8-5.TimeMin	ma	modest	E	maqvbs	724	724	724	724	15.85	5.536	23.981	8.724	23.928	8.148	724	724	1	724	724	1	1	1	1	1	724	724	724	724	724	724	118.164	36.172	724	724	3.137	724	1.035	724	1.295	724	724	1.138	1.235	3.314	1.186	2.656	1.344	1.424	1.319	1.354	1.476	1.66	1.096	1.136	1	1	1	1	1	1	1	1	1	1	1.104	1	1	1	1	1	1	724	34.371	724	724	30.747	163.03	1.605	4.268	724	17.505	17.127	724	724	724	724	724	1	1	1	1.17	1.238	2.3198	724	79.2	135.3	163.8	1.1	1	3.7	1.4	724	724	4.1	2.8	1.8	1	724	724	2.0	1	724	724	724	724	724	724	77.9	1
intercept-mdp.30-0.0.time_min	mdp	prism	E	mdpgrid	13.671	9.807	15.597	11.461	10.84	14.722	11.341	12.059	11.734	11.837	724	724	21.694	30.975	30.821	14.452	16.705	19.961	19.538	14.346	724	724	724	724	724	724	724	16.738	12.681	16.126	10.822	724	15.406	55.64	10.578	724	68.674	724	724	724	724	724	724	512	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	196.244	275.945	12.179	12.478	17.316	17.459	22.48	25.2816	724	724	724	9.8	10.0	9.8	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	9.6	9.6	9.6	10.1	10.1	11.5	11.6	9.6
intercept-mdp.40-0.0.time_min	mdp	prism	E	mdpgrid	56.995	58.179	49.076	76.559	55.187	81.222	53.424	54.241	50.742	48.277	724	724	79.904	149.122	149.616	64.954	74.213	81.688	81.352	74.046	724	724	724	724	724	724	724	73.672	58.52	73.792	61.883	724	74.163	329.994	69.966	724	284.915	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	50.267	56.536	72.2924	79.594	289.175	129.4346	724	724	724	51.9	56.5	46.7	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	62.8	55.3	55.3	55.7	60.9	51.6	53.4	46.7
manymecs.10000.prob_max	mdp	prism	P	mdpmec	6.222	1.641	724	1	2.408	1	8.383	1	1.623	1	1	1.73	1	27.888	27.411	1	724	1	1	1	1	3.984	1.851	1.881	1	1	4.753	1	1.28	724	1.648	1.8	1	1	1	1	1.907	3.648	3.093	2.74	3.879	2.64	3.047	2.634	4.116	2.397	2.537	2.597	2.964	1.865	2.992	1.88	1.002	1.01	1	1.01	1.091	1.015	1	1	1	1.084	6.183	1	1	6.28	1.771	49.462	32.974	33.381	724	61.771	1.748	1.104	1	27.604	1.756	1	2.1229999999999998	1.8399999999999999	6.23	7.507	6.820400000000001	1	1	1	3.483	3.804	4.0286	9.2	8.8	1	1	1	10.0	2.7	1	6.7	1	3.1	1	1	1	38.2	1	1	2.3	8.9	10.5	10.1	10.0	10.7	1	1	1
manymecs.100000.prob_max	mdp	prism	P	mdpmec	724	310.704	724	73.969	447.21	85.885	724	76.156	309.955	75.983	76.602	313.065	1	724	724	1	724	28.816	15.696	17.318	8.034	67.612	31.706	37.663	1	15.016	512	15.706	309.439	724	308.374	319.602	74.064	74.339	74.752	75.114	409.406	384.157	262.909	242.723	509.683	321.691	228.791	189.771	362.994	203.675	203.859	220.393	341.878	260.56	232.016	178.59	25.463	24.929	26.1	25.654	26.723	25.103	82.108	73.736	73.988	24.905	724	27.308	78.265	724	329.413	724	724	724	724	724	30.59	24.128	14.796	189.212	31.515	84.683	724	724	724	724	724	28.209	28.577	39.5304	286.8	268.042	370.66819999999996	724	724	1	1	1	96.6	724	3.7	512	3.7	281.3	7.7	203.5	5.0	724	8.0	1.4	724	724	724	724	724	724	1	1	1
mer.100-0.1.prob_max	mdp	prism	P	mdpmec	1	24.71	1	24.582	25.326	27.806	24.687	24.738	24.676	24.691	724	724	724	1	1	724	724	1	1	1	7.045	2.004	1.54	6.032	1	1	1	1	1	1	24.751	26.38	24.632	25.129	25.213	26.48	25.79	1.551	1.535	3.289	1.321	3.041	1.839	1.83	1.426	1.56	1.751	2.216	1.861	1.686	1.538	1.71	1.087	1.097	1.261	1.047	1.087	1.314	25.892	28.083	28.912	1.236	1	3.708	26.094	1.618	26.96	138.912	244.313	724	724	724	7.244	1.733	3.732	28.002	10.49	30.192	324.482	436.218	1	1	1	1	1	1	1.525	1.379	2.254	1	4.0	724	1	3.8	29.3	23.0	1.5	18.8	1.5	3.8	2.7	5.8	2.4	724	4.6	13.2	724	1	1	1	1	1	1	1	1
mer.250-0.1.prob_max	mdp	prism	P	mdpmec	1	152.972	1.337	153.127	168.723	153.465	204.006	181.099	160.129	166.811	724	724	724	2.489	2.425	724	724	1.022	1.703	1.928	20.534	6.982	5.461	18.746	1.16	1.675	1	1.749	1	1.666	153.397	156.354	153.232	154.793	154.446	186.415	154.992	4.151	5.518	10.197	4.455	8.494	4.979	5.587	5.135	5.788	5.374	6.231	6.127	5.824	5.937	5.772	3.552	3.517	3.594	3.533	3.677	4.104	157.118	154.329	157.359	4.123	2.252	3.601	170.524	2.661	170.816	724	724	724	724	724	19.98	4.781	9.325	91.907	23.385	169.591	724	724	1	1	1	1	1.312	2.7154	5.45	4.89	7.0813999999999995	1	10.2	724	1	8.2	61.1	38.7	3.1	98.0	2.9	9.8	6.3	28.3	4.8	724	10.7	72.1	724	1	1	1	1	1	1	1	1
mer.500-0.1.prob_max	mdp	prism	P	mdpmec	1	512	5.18	512	512	512	512	512	512	512	724	724	724	5.802	5.637	724	724	3.18	5.861	7.173	55.505	25.96	18.765	64.389	3.458	6.698	1.693	6.028	1	5.809	512	512	512	512	512	512	512	15.574	12.074	22.104	12.263	17.613	12.494	12.288	11.46	13.93	18.575	15.797	12.802	12.799	15.777	12.649	10.365	10.295	10.582	10.32	10.573	13.413	512	512	512	9.847	6.53	10.713	512	7.952	512	724	724	724	724	724	59.739	12.714	24.771	358.713	65.778	512	724	724	1	1	1	3.099	3.775	8.8074	13.914	8.654	19.5754	1	23.0	724	1	16.9	132.0	724	6.8	450.8	6.6	28.9	11.7	101.4	9.4	724	21.9	125.3	724	1	1	1	1	1	1	1	1
obstacle-mdp.400.steps_min	mdp	prism	E	mdpgrid	1	1.049	1	1.146	1.252	1.281	1.865	2.505	2.222	1.576	724	724	724	243.38	239.938	724	724	724	724	724	84.631	51.053	42.285	81.036	724	724	724	724	724	724	11.816	6.746	724	4.704	16.915	6.814	5.429	724	64.646	54.878	724	2.608	3.124	2.706	724	69.936	2.72	2.973	75.238	202.3	47.163	724	40.602	40.291	143.979	50.841	118.563	724	724	36.618	69.578	724	724	56.685	56.389	57.784	57.562	724	724	724	724	724	724	724	724	724	724	724	71.333	81.569	1	1	1	724	724	724	69.09	153.973	486.5736	2.8	2.6	3.8	4.1	492.2	37.9	144.0	130.3	512	512	6.3	12.3	724	724	724	724	724	724	3.1	2.4	3.0	3.0	2.7	2.8	3.2	1
obstacle-mdp.800.steps_min	mdp	prism	E	mdpgrid	6.558	12.843	9.339	13.68	13.316	19.214	17.063	17.249	16.043	16.23	724	724	724	724	724	724	724	724	724	724	724	415.011	427.509	724	724	724	724	724	724	724	89.56	42.849	724	45.648	165.18	44.371	39.898	724	724	724	724	13.631	15.305	15.982	724	724	15.064	16.599	724	724	724	724	512	512	724	724	724	724	724	512	724	724	724	724	512	724	724	724	724	724	724	724	724	724	724	724	724	724	512	724	7.499	7.781	10.3322	724	724	724	724	724	724	20.3	25.0	26.5	28.4	724	724	724	724	724	724	31.9	27.1	724	724	724	724	724	724	29.0	24.1	24.0	26.1	18.6	24.3	30.0	6.558
pacman.100.crash	mdp	prism	P	mdpqvbs	5.233	4.967	8.154	8.145	5.015	8.192	5.208	8.224	5.266	7.715	26.967	724	22.331	512	512	17.877	20.51	58.82	8.196	8.574	724	249.683	31.942	29.439	724	8.564	11.537	8.863	10.512	9.12	8.315	724	7.477	27.124	8.602	27.897	37.281	724	724	724	724	724	724	724	724	724	724	724	724	23.383	724	23.717	8.658	8.541	8.655	8.365	8.477	8.475	8.828	8.496	724	8.873	25.744	8.402	9.354	24.152	26.704	724	724	724	724	724	27.13	7.474	7.867	28.483	28.672	32.096	724	724	4.982	15.155	31.7642	50.799	20.59	105.376	724	724	724	1	1	1	1	724	3.8	724	3.8	724	3.8	724	3.7	724	3.7	724	3.7	724	3.8	1	1	1	1	1.1	7.5	7.6	1
polling-system.3-3-5.TmaxBothFull	ma	modest	E	maqvbs	724	724	724	724	724	724	724	724	724	724	724	724	1	32.202	31.835	1	1	1	1	1	1	1	1	1	1	1	724	33.797	724	724	16.462	16.652	11.6	11.659	14.242	14.737	16.425	1.067	1.201	2.546	1.206	13.046	1.128	1.318	1	1	1	1.08	1.249	1.201	1	1	1.031	1.087	1.038	1	1	1	1	1.019	1.128	11.762	16.917	11.751	13.855	16.639	19.604	2.026	2.248	27.77	724	21.499	1.375	1.281	17.754	724	12.285	14.532	724	724	724	724	724	1	1	1	1.206	1.255	1.2454	724	724	724	724	1.1	1	1.9	1.1	724	724	4.7	1	1.4	1.3	4.3	3.2	3.6	3.5	724	724	724	724	724	724	724	1
random-grid.40-0.3-0.3.time_min	mdp	prism	E	mdpgrid	1	1	1	1	1	1	1	1	1	1	724	724	1.561	3.549	3.678	1	1.317	724	724	1.745	22.822	18.545	15.199	28.429	724	724	724	724	724	724	1	4.742	724	1.396	1.079	4.673	1.267	166.916	5.433	5.175	206.824	2.864	1.332	1.399	512	6.086	1.868	1.89	7.065	9.276	5.763	7.816	5.745	6.026	7.811	6.017	6.406	192.637	179.495	5.613	5.536	262.831	288.074	3.54	3.665	2.847	3.666	724	724	724	724	724	724	724	724	724	724	724	4.789	4.21	1	1	1	724	724	724	5.133	5.007	11.5062	1	1	1	1	13.9	17.4	6.1	458.3	128.3	113.1	1.7	11.1	512	512	724	724	98.6	435.6	1	1	1	1	1	1	1	1
random-grid.80-0.3-0.3.prob_max	mdp	prism	P	mdpgridmec	3.147	1	2.779	1.015	1	1	1	1	1	1	3.629	3.623	724	724	724	724	724	467.431	512	724	512	512	512	512	724	724	724	724	724	724	1	3.821	1	3.835	1	3.78	4.13	724	724	724	724	49.586	54.332	59.646	39.777	45.158	54.006	55.975	724	724	724	724	724	724	724	724	724	724	1	1.004	1	37.851	38.562	47.699	1.041	47.73	1.024	724	724	724	724	724	724	724	724	724	724	27.615	78.03899999999999	80.332	3.393	3.774	5.6288	512	457.25	724	724	724	724	3.9	724	1	1	724	724	724	724	724	724	724	69.8	724	724	724	724	724	724	3.7	2.9	2.9	3.6	2.8	1	1	1
random-grid.80-0.3-0.3.time_min	mdp	prism	E	mdpgrid	5.729	3.565	5.401	3.857	13.253	5.37	6.113	6.264	5.731	4.92	724	724	724	86.832	104.369	16.955	24.76	724	724	724	724	512	512	724	724	724	724	724	724	724	21.032	235.745	724	18.716	23.95	286.307	16.23	724	724	724	724	17.24	16.3	16.247	724	724	28.448	22.979	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	512	512	724	724	724	724	724	724	724	724	724	724	724	724	59.506	47.41	4.463	5.351	10.0078	724	724	724	724	724	724	4.7	9.4	7.3	11.0	724	724	455.2	724	724	724	49.6	512	724	724	724	724	724	724	6.5	6.5	6.4	4.7	5.0	4.9	7.0	3.565
readers-writers.20.exp_time_many_requests	ma	greatspn	E	maqvbs	1	1	1	1	1	1	1	1.093	1.054	1.215	724	724	1	8.561	8.451	73.685	1	1	1	1	724	724	724	724	52.556	59.07	1	1	1	1	1	724	1	724	1	724	724	512	176.111	170.287	512	381.699	176.67	162.921	512	153.65	144.206	162.374	178.799	186.261	229.587	229.493	221.664	162.922	222.293	229.507	230.209	512	512	207.882	206.476	512	512	203.76	177.43	144.135	176.693	724	724	724	724	724	724	724	724	724	724	724	31.975	724	1	3.053	3.9942	1	1	1.1248	188.409	724	229.5558	1.2	1.2	1.3	6.5	454.0	512	724	724	724	724	211.2	179.1	724	724	724	724	320.0	413.3	1.1	1.2	1.2	1	1	1	1	1
