n	logs-avg.Storm.vi-toposhifted	logs-avg.Storm.ovi-toposhifted	logs-avg.Storm.vi2pi-topo-gmresshifted	logs-avg.Storm.vi2lp-topo-gurobishifted	logs-avg.mcsta.vishifted	logs-avg.mcsta.ovishifted	logs-run1.Storm.vi-toposhifted	logs-run1.Storm.ovi-toposhifted	logs-run1.Storm.vi2pi-topo-gmresshifted	logs-run1.Storm.vi2lp-topo-gurobishifted	logs-run1.mcsta.vishifted	logs-run1.mcsta.ovishifted	logs-run2.Storm.vi-toposhifted	logs-run2.Storm.ovi-toposhifted	logs-run2.Storm.vi2pi-topo-gmresshifted	logs-run2.Storm.vi2lp-topo-gurobishifted	logs-run2.mcsta.vishifted	logs-run2.mcsta.ovishifted	logs-run3.Storm.vi-toposhifted	logs-run3.Storm.ovi-toposhifted	logs-run3.Storm.vi2pi-topo-gmresshifted	logs-run3.Storm.vi2lp-topo-gurobishifted	logs-run3.mcsta.vishifted	logs-run3.mcsta.ovishifted	logs-run4.Storm.vi-toposhifted	logs-run4.Storm.ovi-toposhifted	logs-run4.Storm.vi2pi-topo-gmresshifted	logs-run4.Storm.vi2lp-topo-gurobishifted	logs-run4.mcsta.vishifted	logs-run4.mcsta.ovishifted	logs-run5.Storm.vi-toposhifted	logs-run5.Storm.ovi-toposhifted	logs-run5.Storm.vi2pi-topo-gmresshifted	logs-run5.Storm.vi2lp-topo-gurobishifted	logs-run5.mcsta.vishifted	logs-run5.mcsta.ovishifted	logs-avg.Storm.bestshifted	logs-avg.mcsta.bestshifted	logs-run1.Storm.bestshifted	logs-run1.mcsta.bestshifted	logs-run2.Storm.bestshifted	logs-run2.mcsta.bestshifted	logs-run3.Storm.bestshifted	logs-run3.mcsta.bestshifted	logs-run4.Storm.bestshifted	logs-run4.mcsta.bestshifted	logs-run5.Storm.bestshifted	logs-run5.mcsta.bestshifted	selection-bestshifted	bestshifted
51	7.5742	8.4764	81.538	63.1798	9.7	20.119999999999997	7.222	7.909	84.642	67.351	9.6	20.0	7.305	8.431	84.61	64.767	9.7	20.0	7.312	8.544	78.29	67.194	10.2	20.3	7.419	8.536	78.243	65.827	10.3	20.1	7.797	8.518	78.633	65.584	10.3	18.5	5.3496	9.2	5.173	8.9	5.128	9.0	5.138	9.0	5.441	9.0	5.231	9.9	7.906	3.132
52	7.635599999999999	8.7668	84.65979999999999	68.6284	12.76	20.66	7.31	9.152	86.231	71.12	12.6	20.3	7.456	8.752	86.293	68.687	12.6	20.5	7.486	8.741	84.661	67.757	12.7	20.8	7.8	8.756	84.681	68.177	12.7	20.9	7.904	8.545	84.705	66.253	12.8	20.2	5.3936	9.7	5.79	9.6	5.792	9.7	5.189	10.2	5.483	9.6	5.491	10.0	7.909	3.8
53	7.6472	9.308	97.1558	68.67240000000001	12.78	21.22	7.627	9.484	97.315	73.157	12.9	20.4	8.137	9.861	91.604	70.21	12.7	22.2	7.917	9.788	98.962	69.114	12.9	21.8	8.021	9.833	98.741	68.379	12.8	22.1	8.028	8.986	99.157	66.466	13.0	20.8	5.8418	10.0	5.794	10.0	5.992	10.0	5.945	10.8	5.77	10.3	5.708	10.3	8.518	3.9
54	9.2364	11.1836	111.5682	69.5934	13.34	22.060000000000002	8.592	11.386	112.272	78.332	13.1	21.8	8.441	10.97	110.514	70.214	13.4	22.6	8.485	10.352	110.887	70.584	13.2	22.1	8.102	11.486	110.235	70.001	13.6	22.7	9.584	11.724	112.692	67.67	13.4	22.1	5.9792000000000005	12.760000000000002	6.102	12.6	6.087	12.6	6.049	12.8	5.771	12.6	5.763	12.8	10.352	4.0
55	9.4882	11.8378	119.4944	80.0212	13.7	22.6	9.879	12.111	113.513	79.719	13.7	22.5	9.07	12.114	120.437	76.546	13.8	22.9	9.477	11.691	120.77	76.697	13.8	22.6	9.431	11.544	120.777	84.763	13.7	23.0	11.777	11.729	123.216	82.381	13.4	22.5	6.1278	12.78	6.19	12.8	6.13	12.8	6.13	12.9	6.053	12.8	5.999	13.0	11.544	4.26
56	12.1828	12.7896	126.40360000000001	95.2578	14.38	23.14	12.801	12.918	126.13	89.845	13.8	22.6	12.558	12.745	126.412	87.754	14.2	23.5	11.887	12.828	125.744	98.941	14.4	23.5	11.789	12.736	126.72	99.424	14.5	23.6	12.562	11.822	127.012	91.119	14.5	22.6	6.3788	13.34	6.293	13.1	6.245	13.4	6.316	13.2	6.446	13.6	6.308	13.4	11.822	4.302
57	12.703999999999999	14.3656	143.82739999999998	101.9734	14.84	26.68	12.807	13.202	143.633	96.155	14.2	26.7	12.66	15.124	145.463	107.748	14.3	27.4	12.571	15.107	142.814	107.445	14.5	27.2	12.766	16.573	142.363	107.4	14.8	26.1	12.818	12.721	144.864	100.325	14.8	26.0	6.706999999999999	14.38	6.552	13.7	6.272	14.2	6.694	14.4	6.706	14.5	6.658	14.5	12.721	4.4
58	16.1038	20.944200000000002	153.3678	111.82539999999999	15.080000000000002	33.88	15.965	21.03	153.481	113.879	16.0	33.3	16.037	21.212	153.347	111.847	15.0	33.6	16.147	20.783	153.393	111.604	14.8	34.0	16.137	20.886	153.335	110.272	15.7	33.9	16.233	20.81	153.283	111.525	16.1	34.6	6.843999999999999	14.84	6.744	14.2	6.733	14.3	7.29	14.5	7.232	15.7	7.399	16.1	20.783	4.556
59	19.8934	24.7302	182.7688	133.72179999999997	17.52	37.739999999999995	20.049	24.704	183.615	137.307	17.5	34.2	19.873	24.73	184.11	136.62	17.4	37.2	19.937	24.711	183.436	136.379	17.4	38.4	19.825	24.791	182.343	129.061	17.7	38.5	19.783	24.715	180.34	129.242	17.6	40.4	7.5742	17.52	7.222	17.5	7.114	17.4	7.312	17.4	7.327	17.7	7.797	17.6	24.704	4.656
60	23.0774	25.8	229.2192	141.86579999999998	21.02	52.7	21.903	26.223	229.074	141.85	20.9	53.9	23.357	25.909	229.099	141.396	20.7	52.8	23.394	26.148	229.088	142.425	20.7	52.8	23.317	25.399	229.336	142.577	21.0	52.7	23.416	25.321	227.498	141.081	20.8	51.3	7.635599999999999	21.02	7.627	20.9	8.137	20.7	7.486	20.7	8.021	21.0	8.028	20.8	25.321	4.919
