n	logs.Storm.vi-toposhifted	logs.Storm.vi-topo-mecqshifted	logs.Storm.ovi-toposhifted	logs.Storm.rs-topo-mecq-exactshifted	logs.Storm.pi-mono-gmres-toposhifted	logs.Storm.vi2pi-topo-exactlushifted	logs.Storm.vi2pi-topo-gmres-monoshifted	logs.Storm.vi2lp-topo-mecq-gurobi-4autoshifted	logs.Storm.vi2lp-topo-mecq-soplex-exactshifted	logs.mcsta.iishifted	logs.mcsta.vi-esshifted	logs.Storm.bestshifted	logs.mcsta.bestshifted	selection-bestshifted	bestshifted
63	10.185	8.258	8.067		27.278	65.398	8.766	31.775		30.9	9.3	3.155	7.0	2.0	2.0
64	10.489	9.647	8.102		27.401	74.371	9.893	36.805		37.1	9.5	3.587	7.0	2.1	2.1
65	11.175	10.754	8.344		27.499	75.862	10.917	46.893		37.3	10.4	3.62	7.7	2.2	2.2
66	11.836	11.275	9.728		28.627	83.193	11.067	70.097		40.1	11.5	3.803	8.0	2.403	2.403
67	13.419	11.572	10.781		32.093	86.988	11.479	70.762		44.5	12.9	3.822	8.8	2.573	2.573
68	14.833	12.725	10.841		49.744	102.658	11.501	71.302		51.9	13.3	4.084	9.0	2.885	2.885
69	19.626	14.88	11.253		51.227	115.388	12.015	74.18		52.5	14.1	4.297	9.2	2.907	2.907
70	20.015	16.074	11.478		62.099	126.259	12.609	78.613		68.9	15.0	4.935	9.3	2.954	2.954
71	22.554	17.473	12.074		74.966	150.604	12.921	96.741		81.2	19.3	4.987	9.5	2.996	2.996
72	23.785	23.221	12.602		80.309	267.374	16.281	113.304		84.3	19.4	5.225	10.4	3.5	3.155
73	24.245	25.274	16.952		99.84	268.194	20.74	116.368		89.6	19.4	5.587	11.5	3.62	3.5
74	41.349	34.403	23.468		106.196	281.408	23.647	117.111		90.3	19.5	6.031	11.9	3.803	3.62
75	43.313	41.359	25.145		126.201	283.276	26.691	141.996		93.0	21.2	6.171	13.2	3.822	3.803
76	43.317	47.013	25.986		146.642	680.594	30.838	161.665		94.4	22.6	6.672	13.3	4.084	3.822
77	43.432	54.919	31.764		204.078	763.413	33.345	183.314		99.0	22.8	6.937	14.1	4.297	4.084
78	49.261	57.216	45.486		248.269		36.477	274.916		129.0	23.1	8.455	15.0	4.8	4.297
79	55.954	63.724	45.67		303.55		56.208	275.388		142.4	25.1	10.204	18.0	5.225	4.8
80	56.478	74.088	50.424		375.499		56.505	679.04		159.9	25.3	10.754	19.4	6.122	5.225
81	58.247	78.495	56.491		468.854		57.508	829.827		179.0	28.3	10.841	19.5	6.171	5.587
82	58.945	82.323	81.202		491.704		74.161	830.62		215.3	34.1	11.572	19.8	6.7	6.031
83	61.694	84.855	83.849				78.359	888.167		218.4	45.8	14.833	21.2	6.8	6.171
84	68.004	88.488	87.751				85.996	890.14		228.2	51.0	14.88	21.4	7.0	6.7
85	72.804	93.632	89.502				96.3			236.3	51.2	16.074	22.5	7.0	6.8
86	90.641	102.209	95.214				102.459			271.4	51.2	17.473	22.6	7.7	6.937
87	93.394	107.26	103.535				111.954			285.5	51.9	20.978	22.8	8.0	7.0
88	105.054	115.994	111.403				125.811			315.8	57.7	22.554	23.1	8.8	7.7
89	117.419	140.991	115.204				143.994			424.2	68.1	23.785	25.1	9.3	8.0
90	149.771	146.212	126.784				149.526				70.0	27.278	25.3	12.725	8.455
91	161.522	156.96	140.675				173.081				74.1	27.401	45.8	13.2	8.8
92	163.516	194.916	160.68				181.749				114.0	27.499	51.0	13.3	9.3
93	175.229	201.039	167.754				187.142				124.7	34.403	51.2	15.0	13.2
94	176.656	229.302	168.991				266.697				127.7	47.013	51.2	18.0	13.3
95	188.479	229.824	173.887				275.538				160.6	54.919	51.9	22.6	14.833
96	206.22	312.698	190.572				326.756				182.5	55.954	57.7	34.403	15.0
97	221.157	611.833	229.164				338.226				195.7	56.478	68.1	41.359	18.0
98	239.905		264.494				380.96				230.5	68.004	127.7	47.013	20.978
99	422.802		575.822				555.312				323.9	80.309	129.0	51.0	22.554
100	611.857		649.849				677.566				824.4	82.323	159.9	51.2	34.403
101	881.624		694.027				794.919					83.193	160.6	51.9	47.013
102							819.667					85.996	182.5	82.323	51.2
103												93.632	215.3	93.632	51.9
104												102.209	323.9	102.209	55.954
105												105.054	824.4	107.26	56.478
106												140.675		129.0	68.004
107												146.212		146.212	82.323
108												149.771		182.5	83.193
109												163.516		194.916	93.632
110												173.887		229.302	102.209
111												312.698		229.824	105.054
112												881.624		312.698	129.0
113															146.212
114															173.887
115															312.698
116															
117															
