benchmark	Type	Orig	Prop	Class	logs-E1620-dockerized.Storm.vi-topo	logs-E1620-dockerized.Storm.ovi-topo	logs-E1620-dockerized.Storm.vi2pi-topo-gmres	logs-E1620-dockerized.Storm.vi2lp-topo-gurobi	logs-E1620-dockerized.mcsta.vi	logs-E1620-dockerized.mcsta.ovi	logs-E1620-dockerized-gprob.Storm.vi-topo	logs-E1620-dockerized-gprob.Storm.ovi-topo	logs-E1620-dockerized-gprob.Storm.vi2pi-topo-gmres	logs-E1620-dockerized-gprob.Storm.vi2lp-topo-gurobi	logs-E1620-dockerized-gprob.mcsta.vi	logs-E1620-dockerized-gprob.mcsta.ovi	logs-M2Pro.Storm.vi-topo	logs-M2Pro.Storm.ovi-topo	logs-M2Pro.Storm.vi2pi-topo-gmres	logs-M2Pro.Storm.vi2lp-topo-gurobi	logs-M2Pro.mcsta.vi	logs-M2Pro.mcsta.ovi	logs-M2Pro-2.Storm.vi-topo	logs-M2Pro-2.Storm.ovi-topo	logs-M2Pro-2.Storm.vi2pi-topo-gmres	logs-M2Pro-2.Storm.vi2lp-topo-gurobi	logs-M2Pro-2.mcsta.vi	logs-M2Pro-2.mcsta.ovi	logs-R32200-dockerized.Storm.vi-topo	logs-R32200-dockerized.Storm.ovi-topo	logs-R32200-dockerized.Storm.vi2pi-topo-gmres	logs-R32200-dockerized.Storm.vi2lp-topo-gurobi	logs-R32200-dockerized.mcsta.vi	logs-R32200-dockerized.mcsta.ovi	logs-R54650U-dockerized.Storm.vi-topo	logs-R54650U-dockerized.Storm.ovi-topo	logs-R54650U-dockerized.Storm.vi2pi-topo-gmres	logs-R54650U-dockerized.Storm.vi2lp-topo-gurobi	logs-R54650U-dockerized.mcsta.vi	logs-R54650U-dockerized.mcsta.ovi	logs-R97950X-dockerized.Storm.vi-topo	logs-R97950X-dockerized.Storm.ovi-topo	logs-R97950X-dockerized.Storm.vi2pi-topo-gmres	logs-R97950X-dockerized.Storm.vi2lp-topo-gurobi	logs-R97950X-dockerized.mcsta.vi	logs-R97950X-dockerized.mcsta.ovi	logs-TRP5965-dockerized.Storm.vi-topo	logs-TRP5965-dockerized.Storm.ovi-topo	logs-TRP5965-dockerized.Storm.vi2pi-topo-gmres	logs-TRP5965-dockerized.Storm.vi2lp-topo-gurobi	logs-TRP5965-dockerized.mcsta.vi	logs-TRP5965-dockerized.mcsta.ovi	logs-TRP5965-native.Storm.vi-topo	logs-TRP5965-native.Storm.ovi-topo	logs-TRP5965-native.Storm.vi2pi-topo-gmres	logs-TRP5965-native.Storm.vi2lp-topo-gurobi	logs-TRP5965-native.mcsta.vi	logs-TRP5965-native.mcsta.ovi	logs-TRP5965-nativeportable.Storm.vi-topo	logs-TRP5965-nativeportable.Storm.ovi-topo	logs-TRP5965-nativeportable.Storm.vi2pi-topo-gmres	logs-TRP5965-nativeportable.Storm.vi2lp-topo-gurobi	logs-TRP5965-nativeportable.mcsta.vi	logs-TRP5965-nativeportable.mcsta.ovi	logs-TRP5965-nativeportable-wls.Storm.vi-topo	logs-TRP5965-nativeportable-wls.Storm.ovi-topo	logs-TRP5965-nativeportable-wls.Storm.vi2pi-topo-gmres	logs-TRP5965-nativeportable-wls.Storm.vi2lp-topo-gurobi	logs-TRP5965-nativeportable-wls.mcsta.vi	logs-TRP5965-nativeportable-wls.mcsta.ovi	logs-claix23.Storm.vi-topo	logs-claix23.Storm.ovi-topo	logs-claix23.Storm.vi2pi-topo-gmres	logs-claix23.Storm.vi2lp-topo-gurobi	logs-claix23.mcsta.vi	logs-claix23.mcsta.ovi	logs-i910980xe-dockerized.Storm.vi-topo	logs-i910980xe-dockerized.Storm.ovi-topo	logs-i910980xe-dockerized.Storm.vi2pi-topo-gmres	logs-i910980xe-dockerized.Storm.vi2lp-topo-gurobi	logs-i910980xe-dockerized.mcsta.vi	logs-i910980xe-dockerized.mcsta.ovi	logs-i910980xe-native.Storm.vi-topo	logs-i910980xe-native.Storm.ovi-topo	logs-i910980xe-native.Storm.vi2pi-topo-gmres	logs-i910980xe-native.Storm.vi2lp-topo-gurobi	logs-i910980xe-native.mcsta.vi	logs-i910980xe-native.mcsta.ovi	logs-i910980xe-native-portable.Storm.vi-topo	logs-i910980xe-native-portable.Storm.ovi-topo	logs-i910980xe-native-portable.Storm.vi2pi-topo-gmres	logs-i910980xe-native-portable.Storm.vi2lp-topo-gurobi	logs-i910980xe-native-portable.mcsta.vi	logs-i910980xe-native-portable.mcsta.ovi	logs-i911900K-dockerized.Storm.vi-topo	logs-i911900K-dockerized.Storm.ovi-topo	logs-i911900K-dockerized.Storm.vi2pi-topo-gmres	logs-i911900K-dockerized.Storm.vi2lp-topo-gurobi	logs-i911900K-dockerized.mcsta.vi	logs-i911900K-dockerized.mcsta.ovi	best
manymecs.10000.prob_max	mdp	prism	P	mdpmec	724	1.05	1.051	4.033	11.5	12.0	724	1.05	1.051	4.087	11.5	12.0	724	1	1	6.041	3.6	5.7	724	1	1	6.208	3.6	6.9	724	1.892	2.183	5.242	7.3	7.5	724	1.066	1.067	9.303	4.8	4.9	724	1	1	12.662	2.9	3.5	724	1	1	8.967	3.8	3.7	724	1	1	9.225	3.8	3.7	724	1	1	1.046	3.8	3.8	724	1	1	9.222	3.8	3.7	724	1	1	1.043	8.4	8.8	724	1	1	11.929	9.4	10.0	724	1	1	13.3	9.5	10.0	724	1	1	13.278	9.4	10.0	724	1	1	4.788	6.7	6.9	1
manymecs.100000.prob_max	mdp	prism	P	mdpmec	724	102.706	102.674	64.623	724	724	724	104.191	110.215	66.062	724	724	724	56.086	56.088	85.131	341.0	410.9	724	56.082	56.088	87.705	339.4	431.3	724	126.687	125.157	55.488	724	724	724	104.985	105.066	115.369	512	459.8	724	75.596	65.988	136.182	277.4	296.7	724	66.448	67.767	99.707	359.4	333.2	724	69.666	72.968	99.208	394.4	333.5	724	72.405	69.731	20.252	396.2	331.1	724	69.805	69.997	102.669	411.9	347.9	724	76.071	74.38	25.851	724	724	724	75.426	75.492	133.186	724	724	724	72.094	72.088	144.426	724	724	724	79.456	78.942	147.916	724	724	724	68.696	68.714	58.076	724	724	20.252
mer.100-0.1.prob_max	mdp	prism	P	mdpmec	1	33.144	33.075	2.442	1	6.3	1	33.029	33.044	2.389	1	6.4	1	18.507	18.516	2.75	1	15.9	1	18.509	18.519	2.793	1	10.1	1	41.538	39.746	2.07	1	6.8	1	33.77	33.812	3.947	1	4.5	1	25.839	25.744	5.003	1	2.4	1	21.585	21.617	3.622	1	3.2	1	22.563	22.611	3.665	1	3.2	1	23.698	23.758	1	1	3.2	1	23.714	22.709	3.723	1	3.2	1	24.755	24.769	1.238	1	3.6	1	24.537	24.591	4.817	1	4.8	1	23.665	23.772	5.338	1	4.7	1	25.605	25.627	5.403	1	4.8	1	22.275	22.288	2.292	1	3.3	1
mer.250-0.1.prob_max	mdp	prism	P	mdpmec	2.628	205.04	205.235	7.012	1	15.6	2.629	205.056	205.115	6.975	1	15.7	2.249	115.252	115.28	8.288	1	28.2	2.398	115.245	115.282	8.347	1	30.0	2.005	261.391	254.272	6.575	1	16.6	1.498	211.461	213.447	10.82	1	11.3	1.24	122.136	122.726	13.176	1	6.3	1.206	134.45	134.429	9.705	1	10.5	1	140.455	140.748	9.677	1	10.6	1.233	141.127	141.264	2.546	1	10.1	1.227	141.176	141.265	9.955	1	10.4	1.437	179.398	153.81	3.311	1	10.4	1.707	152.63	152.784	12.888	1	13.1	1.431	146.761	147.023	13.895	1	13.2	1.889	158.705	159.103	14.404	1	13.4	1.247	138.487	138.746	6.037	1	8.8	1
mer.500-0.1.prob_max	mdp	prism	P	mdpmec	9.672	724	724	18.658	1	31.1	9.671	724	724	18.703	1	31.4	9.457	460.711	460.658	21.151	1	56.8	9.296	460.839	460.763	21.116	1	47.0	7.055	724	724	17.622	1	34.0	5.28	724	724	27.204	1	22.5	4.533	474.762	512	28.184	1	19.1	4.51	512	512	21.341	1	21.0	3.169	512	512	20.833	1	21.5	4.377	512	512	7.082	1	21.4	4.424	512	512	21.936	1	21.2	5.433	724	724	10.677	1	22.2	6.24	724	724	28.946	1	27.1	4.814	512	512	724	1	27.0	6.653	724	724	32.025	1	27.6	4.532	512	512	14.23	1	17.6	1
obstacle-mdp.400.steps_min	mdp	prism	E	mdpgrid	1.154	1.824	724	724	4.0	4.4	1.154	1.824	724	724	4.0	4.4	1	1	724	724	2.3	3.9	1	1	724	724	2.3	5.0	1	1.511	724	724	3.2	3.6	1	1.25	724	724	2.6	2.7	1	1	724	724	1.7	1.9	1	1	724	724	2.0	2.0	1	1	724	724	1.9	2.0	1	1	724	724	1.9	2.0	1	1	724	724	1.9	2.0	1	1.055	724	724	2.6	2.8	1.013	1.689	724	724	3.4	3.7	1.695	2.932	724	724	3.4	3.6	1.739	3.004	724	724	3.5	3.8	1	1.017	724	724	2.1	2.4	1
obstacle-mdp.800.steps_min	mdp	prism	E	mdpgrid	8.006	13.648	724	724	31.8	38.9	8.006	13.648	724	724	31.8	38.9	4.233	7.782	724	724	18.6	42.9	4.239	7.764	724	724	18.4	35.1	6.46	10.423	724	724	25.0	30.1	5.45	9.069	724	724	21.2	24.0	3.773	6.165	724	724	15.5	17.7	3.302	5.749	724	724	15.5	17.7	3.405	5.614	724	724	15.2	17.7	3.283	5.666	724	724	15.2	17.7	3.477	5.657	724	724	15.2	17.7	10.358	12.663	724	724	20.2	25.7	8.513	15.35	724	724	27.8	33.7	12.774	23.738	724	724	27.9	33.9	13.361	24.62	724	724	29.8	36.5	4.621	8.241	724	724	17.2	21.4	3.283
pacman.100.crash	mdp	prism	P	mdpqvbs	10.66	10.942	10.619	10.93	1	1	10.672	10.986	10.684	10.985	1	1	5.365	5.496	5.362	5.583	1	1	5.371	5.516	5.383	5.63	1	1	12.188	12.606	12.169	12.273	1	1	10.971	11.23	10.981	11.367	1	1	9.02	9.191	8.971	8.6	1	1	7.602	7.834	7.635	7.781	1	1	7.473	7.665	7.41	7.627	1	1	7.516	7.706	7.44	7.444	1	1	7.518	7.674	7.474	7.697	1	1	8.316	8.677	8.249	8.493	1	1	10.593	10.984	10.606	10.968	1	1	12.53	12.96	12.533	12.66	1	1	12.479	13.033	12.486	12.914	1	1	7.495	7.693	7.47	7.77	1	1	1
polling-system.3-3-5.TmaxBothFull	ma	modest	E	maqvbs	724	724	18.75	19.568	724	724	724	724	18.75	19.568	724	724	724	724	14.214	14.377	724	724	724	724	14.212	14.383	724	724	724	724	17.493	17.434	724	724	724	724	14.019	14.433	724	724	724	724	9.106	8.326	724	724	724	724	11.292	11.318	724	724	724	724	10.347	10.174	724	724	724	724	9.91	9.854	724	724	724	724	9.937	9.963	724	724	724	724	11.624	11.723	724	724	724	724	18.537	18.975	724	724	724	724	47.442	48.05	724	724	724	724	53.406	54.378	724	724	724	724	10.361	10.606	724	724	8.326
random-grid.40-0.3-0.3.time_min	mdp	prism	E	mdpgrid	1	1	724	421.365	1	1	1	1	724	421.365	1	1	1	1	724	724	1	1	1	1	724	114.478	1	1.1	1	1	724	512	1	1	1	1	724	371.648	1	1	1	1	724	317.918	1	1	1	1	724	224.341	1	1	1	1	724	224.204	1	1	1	1	724	223.818	1	1	1	1	724	224.307	1	1	1	1	724	260.022	1	1	1	1	724	277.385	1	1	1	1	724	263.951	1	1	1	1	724	278.104	1	1	1	1	724	271.565	1	1	1
random-grid.80-0.3-0.3.prob_max	mdp	prism	P	mdpgridmec	3.133	1.21	1.209	60.147	4.5	724	3.133	1.212	1.218	59.939	4.5	724	1.384	1	1	26.293	2.8	724	1.396	1	1	26.384	3.5	724	2.769	1.385	1.414	67.292	5.3	724	2.307	1.217	1.244	48.018	3.5	724	1.655	1	1	40.371	2.2	724	1.44	1	1	32.734	2.5	724	1.409	1	1	32.854	2.5	724	1.409	1	1	32.859	2.5	724	1.409	1	1	32.955	2.5	724	2.601	1	1	45.576	4.4	724	3.404	1.175	1.181	54.216	4.5	724	4.808	1.609	1.64	55.143	4.6	724	4.948	1.61	1.621	56.581	4.8	724	1.818	1	1	37.474	3.1	724	1
random-grid.80-0.3-0.3.time_min	mdp	prism	E	mdpgrid	5.491	5.333	724	724	6.8	8.9	5.458	5.331	724	724	6.8	8.9	2.498	2.581	724	724	4.2	12.0	2.508	2.578	724	724	4.7	11.4	4.617	4.411	724	724	5.5	7.0	3.833	3.893	724	724	5.0	5.9	2.745	2.655	724	724	2.8	4.1	2.383	2.34	724	724	3.1	4.0	2.389	2.268	724	724	3.1	4.0	2.383	2.317	724	724	3.1	4.0	2.396	2.303	724	724	3.2	4.0	5.248	5.222	724	724	5.5	6.4	5.865	5.842	724	724	6.6	8.6	8.64	9.248	724	724	6.5	8.6	8.957	9.66	724	724	6.9	9.0	3.144	3.048	724	724	3.8	5.1	2.268
readers-writers.20.exp_time_many_requests	ma	greatspn	E	maqvbs	1.012	1	1	724	1.8	1.8	1.012	1	1	724	1.8	1.8	1	1	1	493.884	1	1.1	1	1	1	493.648	1	1.2	1.263	1.099	1.109	724	2.0	2.1	1.088	1.065	1	724	2.3	1.5	1	1	1	724	1	1	1	1	1	506.303	1	1	1	1	1	512	1	1	1	1	1	506.735	1	1	1	1	1	509.809	1	1	1	1	1	724	1	1	1	1	1	724	1.4	1.4	1.517	1.562	1.369	724	1.4	1.4	1.512	1.563	1.325	724	1.4	1.4	1	1	1	724	1	1	1
readers-writers.35.exp_time_many_requests	ma	greatspn	E	maqvbs	4.558	3.242	7.399	724	3.6	3.4	4.558	3.242	7.399	724	3.6	3.4	2.228	1.457	4.023	724	2.0	2.0	2.247	1.445	4.025	724	1.8	2.1	5.029	3.297	7.223	724	3.7	3.4	3.885	2.68	5.838	724	2.7	2.3	1.817	1.303	3.258	724	1.7	1.6	2.0	1.569	3.284	724	2.0	1.7	2.01	1.559	3.218	724	2.0	1.7	2.025	1.584	3.285	724	2.0	1.7	2.027	1.569	3.28	724	2.0	1.7	3.076	2.135	4.77	724	1.8	1.7	4.002	2.969	6.856	724	2.8	2.9	5.544	4.494	7.947	724	2.8	2.9	5.598	4.564	8.032	724	2.8	3.0	2.75	1.953	4.389	724	2.0	2.0	1.303
readers-writers.40.exp_time_many_requests	ma	greatspn	E	maqvbs	7.277	4.923	12.086	724	4.6	4.3	7.277	4.923	12.086	724	4.6	4.3	3.677	2.182	6.517	724	2.5	3.0	3.685	2.179	6.521	724	2.5	2.6	8.203	5.135	11.643	724	4.9	4.2	6.416	4.121	9.69	724	3.3	2.9	3.969	2.868	5.489	724	2.3	2.2	3.347	2.554	5.521	724	2.6	2.2	3.307	2.55	5.412	724	2.5	2.2	3.346	2.554	5.539	724	2.6	2.2	3.315	2.569	5.515	724	2.6	2.2	4.842	3.453	9.603	724	2.6	2.2	6.81	4.958	11.787	724	3.8	4.1	9.083	7.443	13.025	724	3.9	4.2	9.26	7.456	13.375	724	3.9	4.3	4.429	2.952	7.262	724	2.6	2.4	2.179
readers-writers.40.pr_network	ma	greatspn	P	maqvbs	9.316	11.706	18.13	22.165	5.2	4.2	9.338	11.646	18.102	22.322	5.2	4.1	3.426	4.407	8.401	8.902	2.7	2.5	3.424	4.425	8.39	8.879	2.7	2.7	11.864	14.633	20.032	24.998	5.8	4.2	9.51	11.439	16.36	19.818	3.9	3.0	4.221	5.301	8.04	12.346	2.6	2.1	5.169	6.613	9.093	12.356	2.9	2.2	5.125	6.577	8.878	12.378	2.9	2.2	5.067	6.624	8.955	12.263	2.9	2.2	5.099	6.566	9.014	12.333	2.9	2.2	7.059	8.427	12.439	14.956	3.0	2.2	8.993	11.587	17.528	21.135	4.4	3.9	11.53	16.767	20.202	23.703	4.3	4.1	11.887	16.896	20.964	24.242	4.3	4.0	5.499	6.814	10.664	12.2	3.0	2.3	2.1
refuel-mdp.80-40.reach_max	mdp	prism	P	mdpgridmec	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724
resource-gathering.1300-100-100.expsteps	mdp	prism	E	mdpqvbs	11.385	11.99	724	22.028	12.9	12.7	11.395	12.093	724	22.053	12.9	12.7	9.963	11.054	724	19.257	9.0	13.3	9.575	11.003	724	19.143	7.9	10.4	9.832	10.152	724	21.729	14.2	13.7	7.956	8.286	724	24.651	9.9	9.2	4.703	5.63	724	20.944	6.0	7.3	4.937	5.37	724	17.247	6.9	6.7	3.749	4.207	724	16.365	6.8	6.6	5.112	5.424	724	9.11	6.8	6.6	5.085	5.414	724	17.66	6.8	6.5	6.18	6.696	724	12.254	7.2	7.4	7.422	8.21	724	23.711	11.4	11.8	6.134	10.416	724	24.081	11.4	11.8	8.204	12.656	724	26.075	11.6	12.2	5.377	5.664	724	14.057	7.1	7.4	3.749
resource-gathering.400-30-30.expsteps	mdp	prism	E	mdpqvbs	1	1	724	1.189	1	1	1	1	724	1.119	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1.152	1	1	1	1	724	1.468	1	1	1	1	724	1.727	1	1	1	1	724	1.253	1	1	1	1	724	1.266	1	1	1	1	724	1	1	1	1	1	724	1.279	1	1	1	1	724	1	1	1	1	1	724	1.63	1	1	1	1	724	1.846	1	1	1	1	724	1.843	1	1	1	1	724	1	1	1	1
sensor.4.max_success	mdp	prism	P	mdpmec	5.761	107.203	107.112	11.739	1	724	5.759	107.039	107.128	11.608	1	724	4.939	58.881	58.866	14.134	1	724	5.017	58.888	58.882	14.426	1	724	4.188	132.511	138.77	10.946	1	724	3.189	110.414	109.131	19.267	1	724	2.545	64.128	75.646	21.127	1	724	2.535	69.489	71.742	16.039	1	724	1.911	72.707	72.682	15.696	1	724	2.695	73.23	72.908	3.966	1	724	2.598	72.928	72.977	16.535	1	724	3.052	78.611	78.618	5.663	1	724	3.742	79.888	79.855	21.588	1	724	2.894	77.022	76.865	22.967	1	724	3.963	83.3	83.239	23.979	1	724	2.692	71.477	71.47	9.897	1	724	1
sensor.5.max_success	mdp	prism	P	mdpmec	148.695	724	724	191.21	1	724	148.965	724	724	191.447	1	724	134.783	724	724	180.212	1	724	134.072	724	724	181.041	1	724	121.308	724	724	160.676	1	724	104.683	724	724	194.527	1	724	54.364	724	724	143.08	1	724	61.032	724	724	125.305	1	724	43.129	724	724	109.543	1	724	62.861	724	724	70.58	1	724	63.588	724	724	129.693	1	724	77.276	724	724	98.988	1	724	90.96	724	724	178.342	1	724	63.525	724	724	160.964	1	724	93.17	724	724	192.63	1	724	67.206	724	724	103.96	1	724	1
tireworld.17.goal	mdp	ppddl	P	mdpqvbs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	724	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	724	1	1	1	1	1	1	1	1	1	1	1	724	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
wlan-large.2.E_1	pta	modest	E	ptaqvbs	3.877	4.259	4.31	105.762	15.7	25.6	3.831	4.253	4.304	105.996	15.9	25.0	1.96	2.017	2.315	43.265	9.8	19.4	1.955	2.017	2.314	43.273	9.8	19.7	3.179	3.608	3.609	120.861	14.4	23.4	2.716	3.074	3.002	74.573	12.9	18.4	1.397	1.582	1.664	83.145	8.5	12.6	1.22	1.41	1.477	42.118	8.9	13.7	1.216	1.397	1.458	41.84	8.9	13.5	1.188	1.393	1.446	41.774	9.0	13.6	1.19	1.391	1.441	41.956	8.8	13.6	1.761	2.006	1.982	59.785	8.7	14.5	3.007	3.396	3.36	69.081	13.9	22.4	3.98	4.933	4.332	69.941	13.9	22.2	4.027	4.962	4.36	70.351	13.9	22.2	2.076	2.343	2.367	65.346	8.9	14.6	1.188
wlan-large.2.E_and	pta	modest	E	ptaqvbs	3.846	4.279	4.116	50.707	16.8	27.8	3.846	4.279	4.116	50.707	16.8	27.8	1.995	2.057	2.237	25.627	10.0	22.5	1.978	2.047	2.237	25.918	10.0	22.3	3.226	3.759	3.469	60.807	15.3	25.5	2.729	3.181	2.968	724	13.7	20.4	1.424	1.592	1.61	39.416	8.0	15.3	1.267	1.474	1.448	22.75	9.6	15.0	1.249	1.458	1.419	22.878	9.6	14.9	1.235	1.442	1.416	22.738	9.4	14.9	1.236	1.455	1.42	22.747	9.4	14.9	1.732	2.11	1.909	29.445	8.9	15.5	2.955	3.397	3.237	32.85	14.6	23.8	3.934	4.89	4.168	34.031	14.7	24.1	3.961	4.967	4.2	34.189	14.7	24.0	2.067	2.356	2.268	32.587	9.3	15.1	1.235
wlan-large.2.E_or	pta	modest	E	ptaqvbs	3.907	4.259	4.224	51.022	15.4	25.0	3.907	4.259	4.224	51.022	15.4	25.0	1.906	1.969	2.213	25.875	9.4	19.7	1.912	1.949	2.195	25.918	9.3	19.4	3.13	3.64	3.482	61.358	14.1	23.3	2.677	3.116	2.936	724	12.5	18.3	1.392	1.577	1.576	37.375	7.3	15.0	1.195	1.384	1.385	22.723	8.6	13.5	1.171	1.378	1.374	22.775	8.6	13.6	1.16	1.357	1.358	22.737	8.7	13.6	1.167	1.356	1.362	22.678	8.7	13.9	1.799	1.847	1.977	29.996	8.6	14.8	3.103	3.44	3.371	33.354	13.6	21.9	4.04	4.932	4.336	34.687	13.6	22.0	4.133	5.028	4.419	34.382	13.6	21.9	2.083	2.377	2.295	32.796	8.6	14.1	1.16
wlan-mec.3-0.cost_min	mdp	prism	E	mdpmec	100.68	318.908	318.8	140.585	724	724	99.969	318.575	318.579	724	724	724	107.833	174.013	174.047	159.398	724	724	106.43	173.93	174.017	161.042	724	724	84.601	400.296	399.986	131.825	724	724	73.959	330.129	329.942	182.166	724	724	35.849	183.432	190.628	144.389	724	724	42.127	206.133	206.303	120.148	724	724	31.164	216.166	216.216	112.687	724	724	41.423	216.398	216.397	49.113	724	724	41.488	216.451	216.347	123.67	724	724	59.806	235.303	229.742	71.27	724	724	60.937	234.821	234.842	167.494	724	724	46.133	224.707	224.543	164.983	724	724	61.759	245.67	245.74	180.797	724	724	46.046	213.084	212.896	89.017	724	724	31.164
wlan-mec.3-0.time_min	mdp	prism	E	mdpmec	100.289	319.377	318.734	141.699	724	724	100.216	318.741	318.644	140.992	724	724	106.455	173.951	173.985	158.738	724	724	108.32	173.939	173.963	172.259	724	724	85.767	406.323	406.894	129.227	724	724	75.226	330.006	329.992	179.209	724	724	39.684	190.694	218.658	144.848	724	724	41.18	206.199	206.496	119.936	724	724	31.768	216.197	216.133	112.647	724	724	42.124	216.322	226.559	49.736	724	724	41.441	216.371	216.281	123.4	724	724	55.596	229.957	229.447	75.867	724	724	61.037	234.996	234.695	167.189	724	724	46.236	224.464	224.484	165.363	724	724	61.266	245.579	245.505	180.697	724	724	46.02	213.31	212.901	88.002	724	724	31.768
